id,name,price,brand,description,image_url
nan,a1c700ifht96z00etl4s,1841,Zenith,Demo description for a1c700ifht96z00etl4s.,https://res.cloudinary.com/dlm3jzchi/image/upload/v1756725351/products/a1c700ifht96z00etl4s.jpg
nan,a1ecoduooqybalu35jg9,7230,AeroTech,Demo description for a1ecoduooqybalu35jg9.,https://res.cloudinary.com/dlm3jzchi/image/upload/v1756725620/products/a1ecoduooqybalu35jg9.jpg
nan,a1pi2yewa6enl3x5gdwp,3398,Zenith,Demo description for a1pi2yewa6enl3x5gdwp.,https://res.cloudinary.com/dlm3jzchi/image/upload/v1756723507/products/a1pi2yewa6enl3x5gdwp.jpg
nan,a1rzrlbnbycfwo3erpoq,9128,Solace,Demo description for a1rzrlbnbycfwo3erpoq.,https://res.cloudinary.com/dlm3jzchi/image/upload/v1756723808/products/a1rzrlbnbycfwo3erpoq.jpg
nan,a1xfrknfwo0rmpeuhdsf,8665,Nimbus,Demo description for a1xfrknfwo0rmpeuhdsf.,https://res.cloudinary.com/dlm3jzchi/image/upload/v1756722805/products/a1xfrknfwo0rmpeuhdsf.jpg
nan,a21xmlxjev3lvhlrpbhp,3854,AeroTech,Demo description for a21xmlxjev3lvhlrpbhp.,https://res.cloudinary.com/dlm3jzchi/image/upload/v1756725172/products/a21xmlxjev3lvhlrpbhp.jpg
nan,a2mtwqpmedcg0vzjpybg,8071,Flux,Demo description for a2mtwqpmedcg0vzjpybg.,https://res.cloudinary.com/dlm3jzchi/image/upload/v1756724322/products/a2mtwqpmedcg0vzjpybg.jpg
nan,a3bsorbm3u6wqeuntzyf,6729,AeroTech,Demo description for a3bsorbm3u6wqeuntzyf.,https://res.cloudinary.com/dlm3jzchi/image/upload/v1756723573/products/a3bsorbm3u6wqeuntzyf.jpg
nan,a5k3w5iwt7hy9ig0wok3,5794,Orbit,Demo description for a5k3w5iwt7hy9ig0wok3.,https://res.cloudinary.com/dlm3jzchi/image/upload/v1756722561/products/a5k3w5iwt7hy9ig0wok3.jpg
nan,a6m3sbijt69uwwgbisqy,5096,Orbit,Demo description for a6m3sbijt69uwwgbisqy.,https://res.cloudinary.com/dlm3jzchi/image/upload/v1756724071/products/a6m3sbijt69uwwgbisqy.jpg
nan,a6sukrxqy97u7cvpno4k,946,AeroTech,Demo description for a6sukrxqy97u7cvpno4k.,https://res.cloudinary.com/dlm3jzchi/image/upload/v1756723143/products/a6sukrxqy97u7cvpno4k.jpg
nan,a7be1hh1zcnsqvpeanmo,9448,AeroTech,Demo description for a7be1hh1zcnsqvpeanmo.,https://res.cloudinary.com/dlm3jzchi/image/upload/v1756724537/products/a7be1hh1zcnsqvpeanmo.jpg
nan,a8ce0bronsiuiqfzeu8c,2381,Zenith,Demo description for a8ce0bronsiuiqfzeu8c.,https://res.cloudinary.com/dlm3jzchi/image/upload/v1756736861/products/a8ce0bronsiuiqfzeu8c.jpg
nan,a8spx7evyvfwovwzb0u2,9316,Solace,Demo description for a8spx7evyvfwovwzb0u2.,https://res.cloudinary.com/dlm3jzchi/image/upload/v1756722755/products/a8spx7evyvfwovwzb0u2.jpg
nan,aacr0mbnfhjk5mhcrjbh,3168,Acme,Demo description for aacr0mbnfhjk5mhcrjbh.,https://res.cloudinary.com/dlm3jzchi/image/upload/v1756725506/products/aacr0mbnfhjk5mhcrjbh.jpg
